Pays;score_bonheur;niveau_bonheur;dep_militaires;corruption;mort_5;chomage;PIB_habitant;esp_vie;pollution;internet;tourisme
Republique centrafricaine;2,69;faible;1,44;53;121,6;4,25;450,9;51,59;58,33;4,34;82000
Burundi;2,91;faible;1,87;58;64,1;1,53;293;60,53;38,43;2,66;187000
Tanzanie;3,35;faible;1,18;40;55,8;2,08;1004,84;63,84;28,24;16;1284000
Syrie;3,46;faible;4,1;47;23,3;8,44;2032;70,32;44,31;34,25;1043000
Rwanda;3,47;faible;1,26;60;39,2;1,11;772,32;67,93;42,61;21,77;1377000
Togo;3,5;faible;1,86;27;73,5;2,95;626,09;60,22;38,36;12,36;338000
Guinee;3,51;faible;2,47;25;105,2;4,33;855,57;60,17;26,94;11,4;63000
Soudan du Sud;3,59;faible;2,35;36;96,2;12,37;547,47;57,12;47,77;7,98;813000
Yemen;3,59;faible;6;15;56,8;13,31;960,53;66,09;54,26;26,72;350000
Haiti;3,6;faible;0;18;68,5;13,86;1294,24;62,9;15,54;12,33;1153000
Madagascar;3,64;faible;0,58;43;56;1,76;515,29;65,93;22,95;4,71;333000
Benin;3,66;faible;1,26;68;97,4;2,52;1136,59;60,89;40,47;14,12;292000
Botswana;3,77;faible;3,01;61;43,6;17,62;7893,23;68,18;24,33;41,41;1712000
Afghanistan;3,79;faible;0,95;19;67,6;11,31;519,88;63,76;61,25;11,45;20000
Angola;3,8;faible;2,42;27;84,2;7,2;4095,81;59,93;32,73;14,34;397000
Lesotho;3,81;faible;1,95;28;90,6;24,3;1150,08;52,06;30,88;29,79;1196000
Zimbabwe;3,88;faible;1,54;24;59,5;5,24;1548,17;60,29;21,73;27,06;2168000
Tchad;3,94;faible;2,24;19;125,6;1,89;665,95;53,44;68,68;6,5;98000
Malawi;3,97;faible;0,76;53;50;5,79;356,72;62,68;24,54;13,78;849000
Burkina Faso;4,03;faible;1,53;19;97;5,6;734,99;60,35;46,56;15,88;152000
Niger;4,03;faible;2,46;32;90,2;0,51;517,98;61,14;87,28;10,22;152000
Ouganda;4,08;faible;1,29;31;52,8;1,83;747,2;61,99;48,95;23,71;1323000
Ukraine;4,1;faible;2,88;43;9,2;9,35;2640,68;71,48;21,25;58,89;13734000
Ghana;4,12;faible;0,4;80;52,2;5,45;2025,93;63,12;34,68;37,88;500000
Soudan;4,14;faible;3,51;38;64,1;17,19;1111,87;64,66;58,9;30,87;800000
Cambodge;4,17;faible;2,1;25;30,1;0,72;1385,26;68,98;26,77;32,9;5012000
Cote d'Ivoire;4,18;faible;1,25;47;88;2,6;2111,03;56,57;27,69;43,84;1583000
Mali;4,19;faible;3,03;29;104,8;7,6;830,02;57,99;41,93;12,72;173000
Congo, Republique du;4,28;faible;4,31;19;52,6;9,85;2191,22;63,56;44,15;8,65;213000
Congo, Republique democratique du;4,29;faible;0,74;18;93,9;4,35;467,07;59,66;44,93;8,62;351000
Georgie;4,29;faible;2,06;56;10,2;16,6;4357;73,21;24,25;59,71;5393000
Mauritanie;4,29;faible;2,93;29;80,3;10,31;1578,11;64,21;49,5;20,8;4000
Inde;4,32;faible;2,51;53;40,9;5,51;1981,65;68,9;89,3;32;14570000
Armenie;4,38;faible;3,85;77;13,7;17,62;3914,5;74,64;34,88;64,74;1260000
Sri Lanka;4,44;faible;2,14;40;8,2;4,24;4077,04;76,48;25,34;34,11;2168000
Ethiopie;4,46;faible;0,67;38;58,9;2,17;768,52;65,48;38,86;18,62;871000
Gabon;4,47;faible;1,81;30;47;20,11;7230,4;65,42;44,1;50,32;200000
Zambie;4,51;moyen;1,31;33;66,5;10,88;1534,87;62,46;28,38;27,85;956000
Senegal;4,54;moyen;1,46;45;50,6;6,7;1361,7;67,08;44,34;29,64;1219000
Kenya;4,55;moyen;1,28;29;47,8;2,76;1572,34;65,39;28,54;17,83;1340000
Mozambique;4,55;moyen;1,03;71;81,8;3,38;461,42;58,31;21,91;20,77;1715000
Myanmar;4,55;moyen;8;33;49,9;1,14;1291,54;66,21;38,51;23,62;2907000
Namibie;4,57;moyen;3,43;82;46,3;23,35;5303,31;62,63;26,91;36,84;1551000
Bangladesh;4,61;moyen;1,24;47;35,7;4,35;1563,91;71,79;66,97;18,02;182000
Albanie;4,64;moyen;1,11;36;9,4;15,42;4531,02;78,19;19,51;71,85;4736000
Iran, Republique islamique d’;4,69;moyen;3,11;74;15,5;12,43;5520,31;76,05;39,61;64,04;4942000
Cameroun;4,7;moyen;1,17;77;84,5;3,47;1425,11;58,06;77,05;23,2;994000
Bulgarie;4,71;moyen;1,24;40;7,7;7,58;8334,08;74,81;20,78;63,41;10604000
Sierra Leone;4,71;moyen;1,09;38;123,2;4,59;499,38;53,44;22,53;13,24;60000
Egypte;4,74;moyen;1,42;28;22,6;12,41;2444,29;71,48;88,21;44,95;5399000
Cisjordanie et Gaza;4,78;moyen;5;42;21;23,94;3620,36;73,59;33,89;65,2;400000
Tunisie;4,81;moyen;2,14;77;17,1;15,51;3481,23;76,12;36,3;55,5;5724000
Afrique du Sud;4,83;moyen;1,04;36;36,2;26,54;6131,48;63,15;26,11;56,17;15121000
Mongolie;4,96;moyen;0,77;28;18,8;7,24;3669,42;69,32;42,51;23,71;471000
Nepal;4,96;moyen;1,73;88;34,6;3,05;911,44;69,85;96,25;21,4;753000
Bhoutan;5,01;moyen;2;35;31,8;2,42;3286,57;70,78;39,82;41,77;210000
Tadjikistan;5,04;moyen;1;44;36,8;6,9;806,04;70,4;47,79;21,96;344000
Nigeria;5,07;moyen;0,43;25;125;7,06;1968,56;53,54;75,4;7,47;5265000
Viet Nam;5,07;moyen;2,3;36;21,2;1,85;2365,62;75,17;32,47;58,14;10013000
Bosnie-Herzegovine;5,18;moyen;0,86;38;6,2;25,41;5394,59;77;29,62;64,89;778000
Honduras;5,18;moyen;1,73;24;18,6;6,73;2453,73;74,7;22,41;32,14;2228000
Macedoine du Nord;5,18;moyen;0,9;51;12;23,72;5430,87;75,5;31,98;74,52;510000
